No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
341,WNC,38.298354,127.373824,4240169.716,357802.0238,2,0,F
342,WNC,38.290602,127.362931,4239326.255,356834.2004,2,0,F
343,WNC,38.298366,127.375528,4240168.432,357950.9969,3,1,F
344,WNC,38.300243,127.369454,4240386.003,357423.5177,2,0,F
345,WNC,38.302848,127.372252,4240670.82,357673.3308,5,3,F
346,WNC,38.306308,127.373779,4241052.401,357813.5752,3,1,F
347,WNC,38.30582,127.372378,4241000.408,357690.1725,3,1,F
348,WNC,38.292038,127.353122,4239500.834,355979.159,3,1,F
349,WNC,38.289322,127.353226,4239199.265,355982.8676,3,1,F
350,WNC,38.287684,127.358776,4239008.963,356465.0446,3,1,F
351,WNC,38.304273,127.370143,4240832.183,357491.6956,3,1,F
352,WNC,38.295643,127.358184,4239893.048,356428.9697,3,1,F
353,WNC,38.296484,127.362219,4239980.078,356783.4498,3,1,F
354,WNC,38.293211,127.366739,4239609.915,357172.3053,3,1,F
355,WNC,38.291674,127.350723,4239464.2,355768.5862,4,2,F
356,WNC,38.293873,127.351397,4239707.231,355831.8888,4,2,F
357,WNC,38.296106,127.355621,4239948.415,356205.7401,4,2,F
358,WNC,38.299171,127.358981,4240283.314,356505.5835,4,2,F
359,WNC,38.305554,127.371038,4240972.929,357572.4702,4,2,F
360,WNC,38.299091,127.37712,4240246.372,358091.6491,4,2,F
361,WNC,38.307685,127.386091,4241186.287,358892.7953,2,0,F
362,WNC,38.3047,127.401359,4240831.83,360222.036,4,2,F
363,WNC,38.31065,127.404968,4241486.643,360549.0521,3,1,F
364,WNC,38.311446,127.406055,4241573.384,360645.6352,6,1,N
365,WNC,38.286083,127.352555,4238840.899,355917.8088,2,0,F
366,WNC,38.261871,127.347959,4236161.304,355467.809,2,0,F
367,WNC,38.285239,127.352529,4238747.291,355913.8145,3,1,F
368,WNC,38.278583,127.352524,4238008.713,355900.2167,3,1,F
369,WNC,38.266827,127.347302,4236712.326,355420.1172,3,1,F
370,WNC,38.271541,127.352569,4237227.256,355890.2287,3,1,F
371,WNC,38.287138,127.353514,4238956.479,356003.7809,3,1,F
372,WNC,38.285251,127.353638,4238746.945,356010.8736,4,2,F
373,WNC,38.277944,127.353702,4237935.953,356002.0588,4,2,F
374,WNC,38.278443,127.35159,4237994.631,355818.2408,4,2,F
375,WNC,38.286407,127.354525,4238873.856,356090.7184,5,3,F
376,WNC,38.255944,127.207431,4235732.512,343159.7866,3,1,F
377,WNC,38.253425,127.207365,4235453.119,343148.5421,3,1,F
