Y_PROJ,X_PROJ,IND,Juv,F
4235908.543048,336168.876375,3,1,F
4236061.895273,336354.707001,3,1,F
4236212.688033,336338.241665,3,1,F
4236292.572035,336215.05484,3,1,F
4236608.585989,336106.264712,3,1,F
4236786.388889,335450.129638,3,1,F
4236634.115491,335208.078675,3,1,F
4236658.469885,335021.419082,3,1,F
4236514.337207,334965.381927,3,1,F
4236342.039299,334846.247984,3,1,F
4236570.408136,335003.158036,3,1,F
4236050.929774,334850.470884,3,1,F
4237556.664775,335514.68141,3,1,F
4236896.920409,335547.176091,3,1,F
4236378.159137,335363.02131,3,1,F
4237460.294576,338078.101456,3,1,F
4237615.085909,337135.054468,3,1,F
4237268.927814,336351.543536,3,1,F
4237297.825502,336204.36114,3,1,F
4237758.629272,335745.79095,3,1,F
4237711.617888,335777.445737,3,1,F
4236563.197652,337946.80482,3,1,F
4236103.286119,337172.439361,3,1,F
4236952.592238,338960.040371,3,1,F
4237201.172984,338336.042064,3,1,F
4237989.170882,338663.524713,3,1,F
4237312.548336,339950.942044,3,1,F
4238221.596616,339110.553904,3,1,F
4238608.862927,338848.950072,3,1,F
4238681.50615,338964.484331,3,1,F
4236733.18355,338395.627581,3,1,F
4236589.500657,338450.213689,3,1,F
4235700.459838,340139.387803,3,1,F
4234406.669811,340728.645693,3,1,F
4234710.547768,341154.556239,3,1,F
4237369.721952,341213.180142,3,1,F
4238176.510293,340519.587478,3,1,F
4238373.377248,340690.558526,3,1,F
4237757.156354,340324.290505,3,1,F
4237180.069562,351437.761833,3,1,F
4237390.339804,351576.070826,3,1,F
4237530.901492,351688.27043,3,1,F
4237491.971974,351807.946481,3,1,F
4237527.373939,351923.975851,3,1,F
4237217.994795,351915.846609,3,1,F
4239692.638778,355518.210961,3,1,F
4240765.40473,357495.123462,3,1,F
4240893.008145,357678.654071,3,1,F
4240355.733864,357366.910822,3,1,F
4240076.111204,357348.948087,3,1,F
4240061.622425,357234.772107,3,1,F
4239799.905462,356764.686508,3,1,F
4239795.482729,356307.271255,3,1,F
4240132.117611,356426.249429,3,1,F
4240415.200239,358103.617513,3,1,F
4239588.907262,357745.311753,3,1,F
4239244.968674,357561.268631,3,1,F
4239278.442249,357642.498191,3,1,F
4239157.613886,357619.102243,3,1,F
4239108.97578,356672.294267,3,1,F
4238741.459781,356886.608613,3,1,F
4238765.2656,356909.58762,3,1,F
4240981.614286,359529.749422,3,1,F
4241148.66989,360011.513675,3,1,F
4241175.935615,360084.661491,3,1,F
4241024.487381,359745.30159,3,1,F
4239093.723814,356494.490951,3,1,F
4238918.097025,356499.379195,3,1,F
4238804.407404,356240.148624,3,1,F
4237234.881627,355845.701471,3,1,F
4232380.382379,346926.074282,3,1,F
4234764.343207,348270.800563,3,1,F
4235292.300284,348603.05258,3,1,F
4235436.021763,342305.511521,3,1,F
4235724.274398,343699.172308,3,1,F
4234647.123386,346660.788716,3,1,F
4234300.173168,346962.957755,3,1,F
4233921.635632,347034.78136,3,1,F
4234760.744035,339858.271565,3,0,N
4235954.077696,336270.837345,4,0,N
4235976.178102,336316.806561,4,1,F
4239067.673508,341617.696515,4,2,F
4238892.056176,341467.357738,4,2,F
4235722.087883,345502.321843,4,2,F
4235795.798018,347038.365705,4,2,F
4236042.815402,346950.940044,4,2,F
4236251.666145,347984.667545,4,2,F
4237028.121997,347220.730267,4,2,F
4236156.559642,347946.69636,4,2,F
4239639.755596,348176.717567,4,2,F
4238981.433963,348511.203694,4,2,F
4239001.274256,349358.434238,4,2,F
4239152.304364,348363.259408,4,2,F
4236747.826754,342688.875902,4,2,F
4237602.536852,342654.499831,4,2,F
4239428.81726,343786.953394,4,2,F
4238902.891887,343270.448182,4,2,F
4238870.942132,348226.507311,4,2,F
4238497.091366,348061.409172,4,2,F
4239231.132491,346553.99156,4,2,F
4239953.813286,347093.359783,4,2,F
4239579.096579,346569.946882,4,2,F
4240066.11769,346909.427872,4,2,F
4237979.967725,348088.362968,4,2,F
4238330.070492,346034.979875,4,2,F
4238733.207906,346555.160585,4,2,F
4236565.177033,340624.725969,4,2,F
4237018.9286,341869.100799,4,2,F
4237997.578365,342219.746549,4,2,F
4236752.870839,341801.460273,4,2,F
4236719.593383,342197.464975,4,2,F
4236851.075591,342386.423972,4,2,F
4235761.770723,336168.983044,4,2,F
4234304.048272,335920.111322,4,2,F
4234378.53547,336011.19336,4,2,F
4236847.416711,335613.926922,4,2,F
4236627.309796,335040.91072,4,2,F
4236569.554555,335045.715904,4,2,F
4236048.404689,334887.926709,4,2,F
4237234.002806,336664.237554,4,2,F
4237807.043211,336429.951798,4,2,F
4237745.731473,336453.852544,4,2,F
4237826.081182,335951.750089,4,2,F
4237406.874418,337559.229695,4,2,F
4236667.751621,337282.366857,4,2,F
4235536.607383,337463.583007,4,2,F
4235974.89962,337008.776502,4,2,F
4236905.968425,339047.280703,4,2,F
4236964.319863,338219.746894,4,2,F
4238043.630354,339544.838191,4,2,F
4238327.940285,339150.565636,4,2,F
4235795.266691,340033.477666,4,2,F
4234600.410625,340275.69541,4,2,F
4238194.101098,341082.534324,4,2,F
4237474.871675,340302.354943,4,2,F
4237186.819358,351592.45934,4,2,F
4237392.413461,351604.398066,4,2,F
4239769.960239,355257.790901,4,2,F
4240924.691113,357835.878361,4,2,F
4240978.654558,357510.435404,4,2,F
4240556.548601,357423.533759,4,2,F
4240516.557209,357424.257813,4,2,F
4240428.108467,357239.91728,4,2,F
4240394.103858,357678.518662,4,2,F
4240126.824972,357544.155672,4,2,F
4239756.852056,356785.577724,4,2,F
4239750.239379,356361.008051,4,2,F
4239865.036014,356260.738374,4,2,F
4239848.18629,356094.498556,4,2,F
4239180.93172,356599.432433,4,2,F
4238999.223376,356690.801119,4,2,F
4238777.519057,357096.373479,4,2,F
4238747.853153,357134.604191,4,2,F
4238633.347976,357045.319641,4,2,F
4235606.86295,355349.214571,4,2,F
4237281.620895,355730.070982,4,2,F
4235022.125843,349972.01499,4,2,F
4235891.345464,343067.964808,4,2,F
4235412.837177,342302.091455,4,2,F
4235707.759688,343382.50846,4,2,F
4234434.680833,347077.01688,4,2,F
4233897.736474,347303.412581,4,2,F
4233644.186575,346923.470978,4,2,F
